id,company_id,mine_id,mineral_type,calorific_value,mining_operation_status,mining_permit,area,year_measured,production_volume,sales_volume,overburden_removal_volume,strip_ratio,year_measured,resources_inferred,resources_indicated,resources_measured,reserves_proved,reserves_probable,mineral_sub_type,area_geometry,coal_spec_links
1,1,,Coal,,,,,,,,,,,,,,,,,,
2,2,1,Coal,4360,production,IUP,3775,,,,,,2022,5,187,118,112,87,Sub-Bituminous,,
3,3,1,Coal,4280,production,IUP,3015,,,,,,2022,4,57,231,51,205,Sub-Bituminous,,
4,4,2,Coal,4210,production,IUP,4996,,,,,,2022,331,268,652,194,512,Sub-Bituminous,,
5,5,2,Coal,3940,development,IUP,5000,,,,,,2022,234,166,304,129,280,Sub-Bituminous,,
6,6,2,Coal,3530,development,IUP,3120,,,,,,2022,75,53,81,42,80,Sub-Bituminous,,
7,7,7,Coal,3530,,,4025,,,,,,2022,30,20,0,0,7,Sub-Bituminous,,
8,8,3,Coal,,inactive,IUP,310,,,,,,2022,,,,,,Sub-Bituminous,,
9,9,3,Coal,3180,development,IUP,1915,,,,,,2022,9,3,0,0,0.8,Sub-Bituminous,,
10,10,3,Coal,3020,development,IUP,3193,,,,,,2022,135,176,0,0,147,Sub-Bituminous,,
11,11,3,Coal,3000,development,IUP,2903,,,,,,2022,40,180,0,0,146,Sub-Bituminous,,
12,12,5,Coal,4780,development,,19050,,,,,,2022,77,98,29,13,9,Sub-Bituminous,,
13,13,6,Coal,6540,,,7811,,,,,,2022,5,42,48,5,4,"Bituminous: Metallurgical coal, thermal coal",,
14,14,4,Coal,6110,,,3505,,,,,,2022,8,47,13,0,1,"Bituminous: Metallurgical coal, thermal coal",,
15,15,4,Coal,5610,,,2490,,,,,,2022,21,71,21,3,4,"Bituminous: Metallurgical coal, thermal coal",,
16,16,,Coal,,,,,,90,,545,,,,,,,,Bituminous: Thermal Coal,,
17,17,,Coal,,,,,,85,,621,7.3,,,,,,,,,
18,26,,Coal,,,,146579,2024,6.63,5.62,23.55,3.55,,,,,,,Bituminous: Metallurgical Coal/Coking Coal,,https://adarominerals.id/pages/view/bisnis-kami.html
19,27,9,Coal,,development,PKP2B,,,0.39,,3.63,9.19,,,,,,,Bituminous: Metallurgical Coal/Coking Coal,,https://adarominerals.id/pages/view/bisnis-kami.html
20,28,8,Coal,,production,PKP2B,,,6.24,,19.92,3.19,,,,,,,Bituminous: Metallurgical Coal/Coking Coal,,https://adarominerals.id/pages/view/bisnis-kami.html
21,29,10,Coal,,production,PKP2B,,,,,,,,,,,,,Bituminous: Metallurgical Coal/Coking Coal,,https://adarominerals.id/pages/view/bisnis-kami.html
22,30,11,Coal,,production,PKP2B,,,,,,,,,,,,,Bituminous: Metallurgical Coal/Coking Coal,,https://adarominerals.id/pages/view/bisnis-kami.html
23,31,12,Coal,,development,PKP2B,,,,,,,,,,,,,Bituminous: Metallurgical Coal/Coking Coal,,https://adarominerals.id/pages/view/bisnis-kami.html
24,30,13,Coal,,production,PKP2B,,,,,,,,,,,,,Bituminous: Metallurgical Coal/Coking Coal,,https://adarominerals.id/pages/view/bisnis-kami.html
25,27,14,Coal,,development,PKP2B,,,,,,,,,,,,,Bituminous: Metallurgical Coal/Coking Coal,,
26,38,,Coal,,,,108009,,,,,,2022,675,1031,1585,335.4,98.4,,,
27,40,,Coal,,,PKP2B,,,,,,,,,,,,,,,
28,58,,Coal,,,,,2023,,78.7,,,,,,,,,,,
29,39,20,Coal,,,IUPK,,,,,,,,,,,,,"Bituminous: Metallurgical coal, thermal coal",,
30,39,21,Coal,,,IUPK,,,,,,,,,,,,,"Bituminous: Metallurgical coal, thermal coal",,
31,40,22,Coal,,,IUPK,,,,,,,,,,,,,"Bituminous: Metallurgical coal, thermal coal",,
32,40,23,Coal,,,IUPK,,,,,,,,,,,,,Sub-Bituminous,,
33,40,24,Coal,,,IUPK,,,,,,,,,,,,,Sub-Bituminous,,
34,40,25,Coal,,,IUPK,,,,,,,,,,,,,Sub-Bituminous,,
35,40,26,Coal,,,IUPK,,,,,,,,,,,,,Sub-Bituminous,,
36,40,27,Coal,,,IUPK,,,,,,,,,,,,,Sub-Bituminous,,
37,40,28,Coal,,,,,,,,,,,,,,,,Lignite: Brown Coal,,
38,93,,Coal,,,PKP2B,17840,,,,,,,,,,,,,,
39,92,31,Coal,,production,IUPK,,,,,,,,,,,,,,,https://adaroindonesia.com/pages/view/pertambangan.html
40,92,32,Coal,,production,IUPK,,,,,,,,,,,,,,,https://adaroindonesia.com/pages/view/pertambangan.html
41,92,33,Coal,,production,IUPK,,,,,,,,,,,,,,,https://adaroindonesia.com/pages/view/pertambangan.html
42,92,34,Coal,,production,IUPK,,,,,,,,,,,,,,,https://adaroindonesia.com/pages/view/pertambangan.html
43,92,35,Coal,,production,IUPK,,,,,,,,,,,,,,,https://adaroindonesia.com/pages/view/pertambangan.html
44,94,29,Coal,,production,IUP,2500,2023,3.95,3.95,,,2024,6.2,14.8,59.7,14.2,19.9,Sub-Bituminous,,https://adaroindonesia.com/pages/view/pertambangan.html
45,95,29,Coal,,production,IUP,2500,2023,4.07,4.12,,,2024,5.7,8.7,43.3,19,2,Sub-Bituminous,,https://adaroindonesia.com/pages/view/pertambangan.html
46,96,29,Coal,,production,IUP,2500,,,,,,2024,32.8,75,98.1,48.1,19.8,Sub-Bituminous,,https://adaroindonesia.com/pages/view/pertambangan.html
47,97,30,Coal,,production,IUP,2000,2023,4.15,4.01,,,,,,,,,Sub-Bituminous,,https://adaroindonesia.com/pages/view/pertambangan.html
48,98,,Coal,,production,PKP2B,24971,,,,,,,,,,,,Sub-Bituminous,,https://adaroindonesia.com/pages/view/pertambangan.html
49,99,,Coal,,development,PKP2B,36490,,,,,,,,,,,,"Bituminous: Metallurgical coal, thermal coal",,https://adaroindonesia.com/pages/view/pertambangan.html
50,100,,Coal,,inactive,IUP,11130,,,,,,,,,,,,,,
51,101,,Coal,,inactive,IUP,34000,,,,,,,,,,,,,,
,102,36,Coal,,production,,4395,,,,,,,,,,,,Bituminous: Thermal Coal,,https://www.atlas-coal.co.id/page/products
,103,36,Coal,,development,,1278,,,,,,,,,,,,Bituminous: Thermal Coal,,https://www.atlas-coal.co.id/page/products
,104,36,Coal,,development,,20000,,,,,,,,,,,,Bituminous: Thermal Coal,,https://www.atlas-coal.co.id/page/products
,105,36,Coal,,development,,4988,,,,,,,,,,,,Bituminous: Thermal Coal,,https://www.atlas-coal.co.id/page/products
,106,37,Coal,,production,,932.8,,,,,,,,,,,,,,https://www.atlas-coal.co.id/page/products
,107,37,Coal,,production,,1389,,,,,,,,,,,,,,https://www.atlas-coal.co.id/page/products
,108,38,Coal,,production,,4864,,,,,,,,,,,,"Bituminous: Metallurgical coal, thermal coal",,https://www.atlas-coal.co.id/page/products
,109,38,Coal,,development,,5000,,,,,,,,,,,,"Bituminous: Metallurgical coal, thermal coal",,https://www.atlas-coal.co.id/page/products
,110,38,Coal,,development,,5000,,,,,,,,,,,,"Bituminous: Metallurgical coal, thermal coal",,https://www.atlas-coal.co.id/page/products
,111,39,Coal,,production,,4000,,,,,,,,,,,,,,https://www.atlas-coal.co.id/page/products
,111,39,Coal,,production,,14990,,,,,,,,,,,,,,https://www.atlas-coal.co.id/page/products
,112,39,Coal,,development,,4850,,,,,,,,,,,,,,https://www.atlas-coal.co.id/page/products
,113,40,Coal,,development,,5000,,,,,,,,,,,,,,https://www.atlas-coal.co.id/page/products
,114,40,Coal,,development,,5010,,,,,,,,,,,,,,https://www.atlas-coal.co.id/page/products
,115,41,Coal,,development,,,,,,,,,,,,,,,,
,116,41,Coal,,development,,,,,,,,,,,,,,,,