"company_id","company_name","company_type","parent_company_id","parent_company_name","company_group"
1,Adaro Energy Indonesia,Holding,"",,
2,Adaro Indonesia,Owner,1,Adaro Energy Indonesia,Adaro Energy Indonesia
3,Balangan Coal Companies,Owner,109,Alam Tri Abadi,Adaro Energy Indonesia
4,Semesta Centramas,Owner,3,Balangan Coal Companies,Adaro Energy Indonesia
5,Paramitha Cipta Sarana ,Owner,3,Balangan Coal Companies,Adaro Energy Indonesia
6,Laskar Semesta Alam,Owner,3,Balangan Coal Companies,Adaro Energy Indonesia
7,Mustika Indah Permai,Owner,1,Adaro Energy Indonesia,Adaro Energy Indonesia
8,Bukit Enim Energy,Owner,1,Adaro Energy Indonesia,Adaro Energy Indonesia
9,Bhakti Energi Persada,Owner,109,Alam Tri Abadi,Adaro Energy Indonesia
10,Bumi Kaliman Sejahtera,Owner,9,Bhakti Energi Persada,Adaro Energy Indonesia
11,Bumi Murau Coal,Owner,9,Bhakti Energi Persada,Adaro Energy Indonesia
12,Birawa Pandu Selaras,Owner,9,Bhakti Energi Persada,Adaro Energy Indonesia
13,Khazana Bumi Kalimantan,Owner,9,Bhakti Energi Persada,Adaro Energy Indonesia
14,Persada Multi Bara,Owner,9,Bhakti Energi Persada,Adaro Energy Indonesia
15,Telen Eco Coal,Owner,9,Bhakti Energi Persada,Adaro Energy Indonesia
16,Tri Panuntun Persada,Owner,9,Bhakti Energi Persada,Adaro Energy Indonesia
17,Kestrel Mine,Owner,1,Adaro Energy Indonesia,Adaro Energy Indonesia
18,Adaro Minerals,Owner,1,Adaro Energy Indonesia,Adaro Energy Indonesia
19,Lahai Coal,Owner,18,Adaro Minerals,Adaro Energy Indonesia
20,Murawai Coal,Owner,18,Adaro Minerals,Adaro Energy Indonesia
21,Kalteng Coal,Owner,18,Adaro Minerals,Adaro Energy Indonesia
22,Juloi Coal,Owner,18,Adaro Minerals,Adaro Energy Indonesia
23,Sumber Barito Coal,Owner,18,Adaro Minerals,Adaro Energy Indonesia
24,Kalimantan Aluminium Industry,Owner,18,Adaro Minerals,Adaro Energy Indonesia
25,Saptaindra Sejati,Contractor,1,Adaro Energy Indonesia,Adaro Energy Indonesia
26,Adaro Jasabara Indonesia,Consultant,1,Adaro Energy Indonesia,Adaro Energy Indonesia
27,Adaro Logistics,Logistics,1,Adaro Energy Indonesia,Adaro Energy Indonesia
28,Maritim Barito Perkasa,Logistics,27,Adaro Logistics,Adaro Energy Indonesia
29,Harapan Bahtera Internusa,Logistics,27,Adaro Logistics,Adaro Energy Indonesia
30,Indonesia Multi Purpose Terminal,Logistics,27,Adaro Logistics,Adaro Energy Indonesia
31,Indonesia Bulk Terminal,Logistics,27,Adaro Logistics,Adaro Energy Indonesia
32,Sarana Daya Mandiri,Logistics,27,Adaro Logistics,Adaro Energy Indonesia
33,Puradika Bongkar Muat Makmur,Logistics,27,Adaro Logistics,Adaro Energy Indonesia
34,Barito Galangan Nusantara,Logistics,27,Adaro Logistics,Adaro Energy Indonesia
35,Sarana Multi Talenta,Logistics,27,Adaro Logistics,Adaro Energy Indonesia
36,Berau Coal Energy,Holding,"",,
37,Berau Coal,Owner,36,Berau Coal Energy,Berau Coal Energy
38,Kirana Berau,Consultant,36,Berau Coal Energy,Berau Coal Energy
39,Pelayaran Sandika Perkasa Maritim,Logistics,36,Berau Coal Energy,Berau Coal Energy
40,Manira Mitra,Logistics,36,Berau Coal Energy,Berau Coal Energy
41,Mutiara Tanjung Lestari,Contractor,36,Berau Coal Energy,Berau Coal Energy
42,Bayan Resources,Holding,"",,
43,Gunungbayan Pratamacoal,Owner,42,Bayan Resources,Bayan Resources
44,Wahana Baratama Mining,Owner,42,Bayan Resources,Bayan Resources
45,Perkasa Inakakerta,Owner,42,Bayan Resources,Bayan Resources
46,Teguh Sinarabadi,Owner,42,Bayan Resources,Bayan Resources
47,Firman Ketaun Perkasa,Owner,42,Bayan Resources,Bayan Resources
48,Tabang Project,Owner,42,Bayan Resources,Bayan Resources
49,Mamahak Coal Mining,Owner,42,Bayan Resources,Bayan Resources
50,Balik Papan Coal Terminal,Logistics,42,Bayan Resources,Bayan Resources
51,Kalimantan Floating Transhipment Facility,Logistics,42,Bayan Resources,Bayan Resources
52,Indonesia Pratama,Contractor,42,Bayan Resources,Bayan Resources
53,Dian Swastika Sentosa,Holding,"",,
54,Golden Energy Mines,Owner,53,Dian Swastika Sentosa,Dian Swastika Sentosa
55,Borneo Indobara,Owner,54,Golden Energy Mines,Dian Swastika Sentosa
56,Kuansing Inti Makmur,Owner,54,Golden Energy Mines,Dian Swastika Sentosa
57,Barasentosa Lestari,Owner,54,Golden Energy Mines,Dian Swastika Sentosa
58,Trisula Kencana Sakti,Owner,54,Golden Energy Mines,Dian Swastika Sentosa
59,EMS Group,Owner,54,Golden Energy Mines,Dian Swastika Sentosa
60,Delta Dunia Makmur,Holding,"",,
61,Bukit Makmur Mandiri,Contractor,60,Delta Dunia Makmur,Delta Dunia Makmur
62,Banyu Biru Sakti,Owner,60,Delta Dunia Makmur,Delta Dunia Makmur
63,Pulau Mutiara Persada,Owner,60,Delta Dunia Makmur,Delta Dunia Makmur
64,Bumi Resources,Holding,"",,
65,Kaltim Prima Coal,Owner,64,Bumi Resources,Bumi Resources
66,Arutmin Indonesia,Owner,64,Bumi Resources,Bumi Resources
67,Pendopo Energi Batubara,Owner,64,Bumi Resources,Bumi Resources
68,Bumi Resources Minerals,Owner,64,Bumi Resources,Bumi Resources
69,Citra Palu Mineral,Owner,68,Bumi Resources Minerals,Bumi Resources
70,Gorontalo Minerals,Owner,68,Bumi Resources Minerals,Bumi Resources
71,Dairi Prima Mineral,Owner,68,Bumi Resources Minerals,Bumi Resources
72,Linge Mineral Resources,Owner,68,Bumi Resources Minerals,Bumi Resources
73,Suma Heksa Sinergi ,Owner,68,Bumi Resources Minerals,Bumi Resources
74,Gallo Oil,Owner,64,Bumi Resources,Bumi Resources
75,Indo Tambangraya Megah,Holding,"",,
76,Indominco Mandiri ,Owner,75,Indo Tambangraya Megah,Indo Tambangraya Megah
77,Trubaindo Coal Mining ,Owner,75,Indo Tambangraya Megah,Indo Tambangraya Megah
78,Bharinto Ekatama,Owner,75,Indo Tambangraya Megah,Indo Tambangraya Megah
79,Kitadin - Embalud,Owner,75,Indo Tambangraya Megah,Indo Tambangraya Megah
80,Kitadin - Tandung,Owner,75,Indo Tambangraya Megah,Indo Tambangraya Megah
81,Jorong Barutama Greston,Owner,75,Indo Tambangraya Megah,Indo Tambangraya Megah
82,Graha Panca Karsa ,Owner,75,Indo Tambangraya Megah,Indo Tambangraya Megah
83,Nusa Persada Resources ,Owner,75,Indo Tambangraya Megah,Indo Tambangraya Megah
84,Tepian Indah Sukses,Owner,75,Indo Tambangraya Megah,Indo Tambangraya Megah
85,Tambang Raya Utama Tama,Contractor,75,Indo Tambangraya Megah,Indo Tambangraya Megah
86,Bukit Asam,Holding,"",,
87,International Prima Coal,Owner,86,Bukit Asam,Bukit Asam
88,Bukit Asam Banko,Owner,86,Bukit Asam,Bukit Asam
89,Batubara Bukit Kendi,Owner,86,Bukit Asam,Bukit Asam
90,Bukit Asam Prima,Owner,86,Bukit Asam,Bukit Asam
91,Bukit Asam Metana Ombilin,Owner,86,Bukit Asam,Bukit Asam
92,Harum Energi,Holding,"",,
93,Mahakam Sumber Jaya,Owner,92,Harum Energi,Harum Energi
94,Harum Nickel Perkasa,Owner,92,Harum Energi,Harum Energi
95,Layar Lintas Jaya,Logistics,92,Harum Energi,Harum Energi
96,Santan Batubara,Owner,92,Harum Energi,Harum Energi
97,Bumi Karunia Pertiwi,Owner,92,Harum Energi,Harum Energi
98,Karya Usaha Pertiwi,"",92,Harum Energi,Harum Energi
99,Position ,"",92,Harum Energi,Harum Energi
100,Arkara Prathama Energi,"",92,Harum Energi,Harum Energi
101,Indika Energi,Holding,"",,
102,Kideco Jaya Agung,Holding,101,Indika Energi,Indika Energi
103,Multi Tambangjaya Utama,Owner,101,Indika Energi,Indika Energi
104,Petrindo Jaya Kreasi,Holding,"",,
105,Tamtama Perkasa,Owner,104,Petrindo Jaya Kreasi,Petrindo Jaya Kreasi
106,Daya Bumindo Karunia,Owner,104,Petrindo Jaya Kreasi,Petrindo Jaya Kreasi
107,Bara International,Owner,104,Petrindo Jaya Kreasi,Petrindo Jaya Kreasi
108,Intam,Owner,104,Petrindo Jaya Kreasi,Petrindo Jaya Kreasi
109,Alam Tri Abadi,Trader,1,Adaro Energy Indonesia,Adaro Energy Indonesia
